"","Candidate.Name","Party.Name","EVM.Votes","Postal.Votes","Total.Votes","Percent.of.Votes","Constituency.ID","Constituency.Name","State.ID","State.Name"
"1849","RAMBIR","Independent","2444","3","2447","0.2",7,"Rohtak","S07","Haryana"
"1941","VINAY","Independent","2737","2","2739","0.22",7,"Rohtak","S07","Haryana"
"2038","SATYAVIR SINGH","Independent","436","3","439","0.04",7,"Rohtak","S07","Haryana"
"2132","NOTA","None of the Above","2939","62","3001","0.25",7,"Rohtak","S07","Haryana"
"3142","Dharambir Singh S/o Bhale Ram","Bharatiya Janata Party","725725","10974","736699","63.45",8,"Bhiwani-Mahendragarh","S07","Haryana"
"4132","Balwan Singh","Indian National Lok Dal","7964","101","8065","0.69",8,"Bhiwani-Mahendragarh","S07","Haryana"
"5132","Shruti Choudhry","Indian National Congress","290463","1773","292236","25.17",8,"Bhiwani-Mahendragarh","S07","Haryana"
"6132","Mohd Irfan","Bharat Prabhat Party","1566","35","1601","0.14",8,"Bhiwani-Mahendragarh","S07","Haryana"
"7132","Comrade Om Parkash","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","1079","14","1093","0.09",8,"Bhiwani-Mahendragarh","S07","Haryana"
"8131","Kundan Kumar","Republican Party of India","439","4","443","0.04",8,"Bhiwani-Mahendragarh","S07","Haryana"
"9129","Ramesh Rao Pilot","Loktanter Suraksha Party","20170","64","20234","1.74",8,"Bhiwani-Mahendragarh","S07","Haryana"
"10126","Satbir","Aapki Apni Party (Peoples)","425","8","433","0.04",8,"Bhiwani-Mahendragarh","S07","Haryana"
"11119","Salesh Kumar","Pragatishil Samajwadi Party (Lohia)","466","14","480","0.04",8,"Bhiwani-Mahendragarh","S07","Haryana"
"12114","Bhai Surender Dhanak","Bhartiya Janraj Party","791","149","940","0.08",8,"Bhiwani-Mahendragarh","S07","Haryana"
"13103","Swati Yadav","Jannayak Janta Party","84236","720","84956","7.32",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1493","Jagat Singh","Independent","728","4","732","0.06",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1585","Dharambir Singh S/0 Fateh Singh","Independent","1250","10","1260","0.11",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1676","Rajnish Kumar","Independent","1395","2","1397","0.12",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1758","Ram Kishan","Independent","621","4","625","0.05",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1850","Lalit","Independent","2933","5","2938","0.25",8,"Bhiwani-Mahendragarh","S07","Haryana"
"1942","Vinod Kumar","Independent","2652","1","2653","0.23",8,"Bhiwani-Mahendragarh","S07","Haryana"
"2039","Satya Pal","Independent","501","4","505","0.04",8,"Bhiwani-Mahendragarh","S07","Haryana"
"2133","Sudhir Kumar","Independent","879","4","883","0.08",8,"Bhiwani-Mahendragarh","S07","Haryana"
"2228","Suresh Chand","Independent","585","2","587","0.05",8,"Bhiwani-Mahendragarh","S07","Haryana"
"2325","Happy Singh","Independent","306","8","314","0.03",8,"Bhiwani-Mahendragarh","S07","Haryana"
"2418","NOTA","None of the Above","1966","75","2041","0.18",8,"Bhiwani-Mahendragarh","S07","Haryana"
"3143","CAPT. AJAY SINGH","Indian National Congress","494733","557","495290","34.24",9,"Gurgaon","S07","Haryana"
"4133","RAO INDERJIT SINGH","Bharatiya Janata Party","877241","4305","881546","60.94",9,"Gurgaon","S07","Haryana"
"5133","CHAUDHARY RAIS AHMAD","Bahujan Samaj Party","26706","50","26756","1.85",9,"Gurgaon","S07","Haryana"
"6133","VIRENDAR RANA","Indian National Lok Dal","9894","17","9911","0.69",9,"Gurgaon","S07","Haryana"
"7133","DR. ABDUL LATIF (MIYA JI)","Voters Party","450","4","454","0.03",9,"Gurgaon","S07","Haryana"
"8132","FOJI JAI KAWAR TYAGI (DIKSHIT)","Daksha Party","337","9","346","0.02",9,"Gurgaon","S07","Haryana"
"9130","JAWAHAR SINGH PAHAL","Bhartiya Shakti Chetna Party","305","4","309","0.02",9,"Gurgaon","S07","Haryana"
"10127","COLONEL DHARAM PAL SINGH RAGHAVA","Rashtra Nirman Party","650","8","658","0.05",9,"Gurgaon","S07","Haryana"
"11120","ADVOCATE PARVEEN YADAV WAZIRABAD","Akhil Bharatiya Jan Sangh","1023","4","1027","0.07",9,"Gurgaon","S07","Haryana"
"12115","PAWAN KUMAR","Shivsena","1277","4","1281","0.09",9,"Gurgaon","S07","Haryana"
"13104","DR. MEHMOOD KHAN","Jannayak Janta Party","8963","30","8993","0.62",9,"Gurgaon","S07","Haryana"
"1494","MAHABIR MEHRA CHHILARKI","Peoples Party of India (Democratic)","1056","5","1061","0.07",9,"Gurgaon","S07","Haryana"
"1586","RAMESH KUMAR","Rashtriya Sahara Party","527","0","527","0.04",9,"Gurgaon","S07","Haryana"
"1677","RAMESH CHAND","Bahujan Mukti Party","937","3","940","0.06",9,"Gurgaon","S07","Haryana"
"1759","VINOD KUMAR","Aapki Apni Party (Peoples)","1201","2","1203","0.08",9,"Gurgaon","S07","Haryana"
"1851","COMRADE SARWAN KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","2764","2","2766","0.19",9,"Gurgaon","S07","Haryana"
"1943","HANS KUMAR","Rashtriya Rashtrawadi Party","1868","0","1868","0.13",9,"Gurgaon","S07","Haryana"
"2040","CHOWKIDAR ANJAN DEVESHWAR","Independent","1780","3","1783","0.12",9,"Gurgaon","S07","Haryana"
"2134","AZAD SINGH NANGALIA","Independent","423","0","423","0.03",9,"Gurgaon","S07","Haryana"
"2229","RAO INDERJEET","Independent","1327","15","1342","0.09",9,"Gurgaon","S07","Haryana"
"2326","KUSHESHWAR BHAGAT","Independent","434","0","434","0.03",9,"Gurgaon","S07","Haryana"
"2419","PAWAN NEHRA","Independent","295","3","298","0.02",9,"Gurgaon","S07","Haryana"
"2517","VIRENDER","Independent","258","1","259","0.02",9,"Gurgaon","S07","Haryana"
"2614","SUDESH KUMAR","Independent","1639","6","1645","0.11",9,"Gurgaon","S07","Haryana"
"2714","NOTA","None of the Above","5350","39","5389","0.37",9,"Gurgaon","S07","Haryana"
"3144","ANURAG SINGH THAKUR","Bharatiya Janata Party","668812","13880","682692","69.04",3,"Hamirpur","S08","Himachal Pradesh"
"4134","DESH RAJ","Bahujan Samaj Party","6974","121","7095","0.72",3,"Hamirpur","S08","Himachal Pradesh"
"5134","RAM LAL THAKUR","Indian National Congress","281000","2120","283120","28.63",3,"Hamirpur","S08","Himachal Pradesh"
"6134","KRISHAN GOPAL","Satya Bahumat Party","2264","55","2319","0.23",3,"Hamirpur","S08","Himachal Pradesh"
"7134","TULSI RAM SHARMA","All India Forward Bloc","766","9","775","0.08",3,"Hamirpur","S08","Himachal Pradesh"
"8133","RAM SINGH SHUKLA","Bahujan Mukti Party","462","11","473","0.05",3,"Hamirpur","S08","Himachal Pradesh"
"9131","ASHISH KUMAR","Independent","320","10","330","0.03",3,"Hamirpur","S08","Himachal Pradesh"
"10128","ASHOK SHARMA","Independent","400","12","412","0.04",3,"Hamirpur","S08","Himachal Pradesh"
"11121","PARVEEN THAKUR","Independent","695","4","699","0.07",3,"Hamirpur","S08","Himachal Pradesh"
"12116","RADHA KRISHAN NAROTRA","Independent","1413","7","1420","0.14",3,"Hamirpur","S08","Himachal Pradesh"
"13105","VIKASH KUMAR","Independent","1394","10","1404","0.14",3,"Hamirpur","S08","Himachal Pradesh"
"1495","NOTA","None of the Above","7865","161","8026","0.81",3,"Hamirpur","S08","Himachal Pradesh"
"3145","Kishan Kapoor","Bharatiya Janata Party","712133","13085","725218","72.02",1,"Kangra","S08","Himachal Pradesh"
"4135","Dr. Kehar Singh","Bahujan Samaj Party","8719","147","8866","0.88",1,"Kangra","S08","Himachal Pradesh"
"5135","Pawan Kajal","Indian National Congress","245474","2121","247595","24.59",1,"Kangra","S08","Himachal Pradesh"
"6135","Prem Chand Vishvakarma","Navbharat Ekta Dal","2355","16","2371","0.24",1,"Kangra","S08","Himachal Pradesh"
"7135","Dr. Swaroop Singh Rana","Swabhiman Party","945","14","959","0.1",1,"Kangra","S08","Himachal Pradesh"
"8134","Subhash Chand","Himachal Jan Kranti Party","950","20","970","0.1",1,"Kangra","S08","Himachal Pradesh"
"9132","Chander Bhan (Baabla)","Independent","555","9","564","0.06",1,"Kangra","S08","Himachal Pradesh"
"10129","Col. Narinder Pathania","Independent","861","47","908","0.09",1,"Kangra","S08","Himachal Pradesh"
"11122","Nisha Katoch","Independent","1297","101","1398","0.14",1,"Kangra","S08","Himachal Pradesh"
"12117","Bachan Singh Rana","Independent","2233","7","2240","0.22",1,"Kangra","S08","Himachal Pradesh"
"13106","Dr. Sanjiv Guleria","Independent","4425","148","4573","0.45",1,"Kangra","S08","Himachal Pradesh"
"1496","NOTA","None of the Above","11195","132","11327","1.12",1,"Kangra","S08","Himachal Pradesh"
"3146","AASHRAY SHARMA","Indian National Congress","240184","1546","241730","25.68",2,"Mandi","S08","Himachal Pradesh"
"4136","DALEEP SINGH KAITH","Communist Party of India  (Marxist)","14742","96","14838","1.58",2,"Mandi","S08","Himachal Pradesh"
"5136","RAM SWAROOP SHARMA","Bharatiya Janata Party","638441","8748","647189","68.75",2,"Mandi","S08","Himachal Pradesh"
"6136","SES RAM","Bahujan Samaj Party","9003","57","9060","0.96",2,"Mandi","S08","Himachal Pradesh"
"7136","KARTAR CHAND","Swabhiman Party","874","6","880","0.09",2,"Mandi","S08","Himachal Pradesh"
"8135","KHEM CHAND","Peoples Party of India (Democratic)","508","3","511","0.05",2,"Mandi","S08","Himachal Pradesh"
"9133","CHANDERMANI","All India Forward Bloc","496","9","505","0.05",2,"Mandi","S08","Himachal Pradesh"
"10130","MEHAR SINGH","Rashtriya Azad Manch","579","3","582","0.06",2,"Mandi","S08","Himachal Pradesh"
"11123","RAJENDER SURYAVANSHI","Ambedkarite Party of India","1865","8","1873","0.2",2,"Mandi","S08","Himachal Pradesh"
"12118","SHIV LAL THAKUR","Bhartiya Shakti Chetna Party","714","37","751","0.08",2,"Mandi","S08","Himachal Pradesh"
"13107","GUMAN SINGH","Independent","2312","32","2344","0.25",2,"Mandi","S08","Himachal Pradesh"
"1497","GHANSHYAM CHAND THAKUR","Independent","773","2","775","0.08",2,"Mandi","S08","Himachal Pradesh"
"1587","COL. THAKUR SINGH","Independent","1584","12","1596","0.17",2,"Mandi","S08","Himachal Pradesh"
"1678","DEV RAJ BHARDWAJ","Independent","3653","0","3653","0.39",2,"Mandi","S08","Himachal Pradesh"
"1760","DHARMENDER SINGH THAKUR","Independent","1856","4","1860","0.2",2,"Mandi","S08","Himachal Pradesh"
"1852","BRIJ GOPAL","Independent","4085","2","4087","0.43",2,"Mandi","S08","Himachal Pradesh"
"1944","SUBHASH MOHAN SNEHI","Independent","3835","4","3839","0.41",2,"Mandi","S08","Himachal Pradesh"
"2041","NOTA","None of the Above","5187","111","5298","0.56",2,"Mandi","S08","Himachal Pradesh"
"3147","DHANI RAM SHANDIL","Indian National Congress","277647","1021","278668","30.5",4,"Shimla","S08","Himachal Pradesh"
"4137","VIKRAM SINGH","Bahujan Samaj Party","7696","63","7759","0.85",4,"Shimla","S08","Himachal Pradesh"
"5137","SURESH KUMAR KASHYAP","Bharatiya Janata Party","601306","4877","606183","66.35",4,"Shimla","S08","Himachal Pradesh"
"6137","MANOJ RAGHUVANSHI","All India Forward Bloc","5806","11","5817","0.64",4,"Shimla","S08","Himachal Pradesh"
"7137","SHAMSHER SINGH","Rashtriya Azad Manch","3209","7","3216","0.35",4,"Shimla","S08","Himachal Pradesh"
"8136","RAVI KUMAR DALIT","Independent","3600","8","3608","0.39",4,"Shimla","S08","Himachal Pradesh"
"9134","NOTA","None of the Above","8305","52","8357","0.91",4,"Shimla","S08","Himachal Pradesh"
"3148","HASNAIN MASOODI","Jammu & Kashmir National Conference","39898","134","148","40180",3,"Anantnag","S09","Jammu & Kashmir"
"4138","GHULAM AHMAD MIR","Indian National Congress","32534","345","625","33504",3,"Anantnag","S09","Jammu & Kashmir"
"5138","MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party","30068","155","301","30524",3,"Anantnag","S09","Jammu & Kashmir"
"6138","NISAR AHMAD WANI","Jammu & Kashmir National Panthers Party","544","26","19","589",3,"Anantnag","S09","Jammu & Kashmir"
"7138","SOFI YOUSUF","Bharatiya Janata Party","2436","7251","538","10225",3,"Anantnag","S09","Jammu & Kashmir"
"8137","SURINDER SINGH","Pragatishil Samajwadi Party (Lohia)","173","12","32","217",3,"Anantnag","S09","Jammu & Kashmir"
"9135","SANJAY KUMAR DHAR","Manvadhikar National Party","577","90","10","677",3,"Anantnag","S09","Jammu & Kashmir"
"10131","CH. ZAFFAR ALI","Jammu & Kashmir People Conference","1555","74","17","1646",3,"Anantnag","S09","Jammu & Kashmir"
"11124","IMTIYAZ AHMAD RATHER","Independent","328","2","52","382",3,"Anantnag","S09","Jammu & Kashmir"
"12119","RIDWANA SANAM","Independent","403","19","33","455",3,"Anantnag","S09","Jammu & Kashmir"
"13108","RIYAZ AHMAD BHAT","Independent","184","4","6","194",3,"Anantnag","S09","Jammu & Kashmir"
"1498","ZUBAIR MASOODI","Independent","533","3","11","547",3,"Anantnag","S09","Jammu & Kashmir"
"1588","MIRZA SAJAD HUSSAIN BEIGH","Independent","419","2","4","425",3,"Anantnag","S09","Jammu & Kashmir"
"1679","SHAMS KHWAJA","Independent","759","0","1","760",3,"Anantnag","S09","Jammu & Kashmir"
"1761","ALI MOHAMMAD WANI","Independent","804","6","4","814",3,"Anantnag","S09","Jammu & Kashmir"
"1853","GH. MOHD. WANI","Independent","1350","15","4","1369",3,"Anantnag","S09","Jammu & Kashmir"
"1945","KYASIR AHMAD SHEIKH","Independent","831","9","7","847",3,"Anantnag","S09","Jammu & Kashmir"
"2042","MANZOOR AHMAD KHAN","Independent","591","6","7","604",3,"Anantnag","S09","Jammu & Kashmir"
"2135","NOTA","None of the Above","696","13","228","937",3,"Anantnag","S09","Jammu & Kashmir"
"3149","JAHANGIR KHAN","Jammu & Kashmir National Panthers Party","4200","6","123","4329",1,"Baramulla","S09","Jammu & Kashmir"
"4139","ABDUL QAYOOM WANI","Jammu & Kashmir Peoples Democratic Party","53300","7","223","53530",1,"Baramulla","S09","Jammu & Kashmir"
"5139","HAJI FAROOQ AHMAD MIR","Indian National Congress","34193","47","292","34532",1,"Baramulla","S09","Jammu & Kashmir"
"6139","MOHAMMAD AKBAR LONE","Jammu & Kashmir National Conference","132919","50","457","133426",1,"Baramulla","S09","Jammu & Kashmir"
"7139","MOHD MAQBOOL WAR","Bharatiya Janata Party","5500","1813","581","7894",1,"Baramulla","S09","Jammu & Kashmir"
"8138","RAJA AIJAZ ALI","Jammu & Kashmir People Conference","102477","575","141","103193",1,"Baramulla","S09","Jammu & Kashmir"
"9136","JAVID AHMAD QURESHI","Independent","3326","6","51","3383",1,"Baramulla","S09","Jammu & Kashmir"
"10132","SYED NAJEEB SHAH NAQVI","Independent","4945","3","19","4967",1,"Baramulla","S09","Jammu & Kashmir"
"11125","ENGINEER RASHID","Independent","100667","10","1491","102168",1,"Baramulla","S09","Jammu & Kashmir"
"12120","NOTA","None of the Above","8055","15","58","8128",1,"Baramulla","S09","Jammu & Kashmir"
"3150","Sheikh Khalid Jehangir","Bharatiya Janata Party","1962","2584","85","4631",2,"Srinagar","S09","Jammu & Kashmir"
"4140","Aga Syed Mohsin","Peoples Democratic Party","36609","11","80","36700",2,"Srinagar","S09","Jammu & Kashmir"
"5140","Abdual Rashid Ganie","Jammu & Kashmir National Panthers Party","776","6","9","791",2,"Srinagar","S09","Jammu & Kashmir"
"6140","Farooq Abdullah","Jammu & Kashmir National Conference","106456","140","154","106750",2,"Srinagar","S09","Jammu & Kashmir"
"7140","Showkat Hussain Khan","Janata Dal  (United)","1245","1","4","1250",2,"Srinagar","S09","Jammu & Kashmir"
"8139","Abdul Khaliq Bhat","Shivsena","574","2","2","578",2,"Srinagar","S09","Jammu & Kashmir"
"9137","Irfan Raza Ansari","Jammu & Kashmir People Conference","28668","77","28","28773",2,"Srinagar","S09","Jammu & Kashmir"
"10133","Nazir Ahmad Lone","Rashtriya Jankranti Party","500","0","6","506",2,"Srinagar","S09","Jammu & Kashmir"
"11126","Nazir Ahmad Sofi","Manvadhikar National Party","1502","2","3","1507",2,"Srinagar","S09","Jammu & Kashmir"
"12121","Bilal Sultan","Independent","1623","2","5","1630",2,"Srinagar","S09","Jammu & Kashmir"
"13109","Sajjad Ahmad Dar","Independent","610","0","3","613",2,"Srinagar","S09","Jammu & Kashmir"
"1499","Abdul Rashid Banday","Independent","1524","1","12","1537",2,"Srinagar","S09","Jammu & Kashmir"
"1589","NOTA","None of the Above","1478","13","75","1566",2,"Srinagar","S09","Jammu & Kashmir"
"3151","Jamyang Tsering Namgyal","Bharatiya Janata Party","41315","0","1599","42914",4,"Ladakh","S09","Jammu & Kashmir"
"4141","Rigzin Spalbar","Indian National Congress","20447","0","794","21241",4,"Ladakh","S09","Jammu & Kashmir"
"5141","Asgar Ali Karbalai","Independent","29069","0","296","29365",4,"Ladakh","S09","Jammu & Kashmir"
"6141","Sajjad Hussain","Independent","31552","0","432","31984",4,"Ladakh","S09","Jammu & Kashmir"
"7141","NOTA","None of the Above","910","0","12","922",4,"Ladakh","S09","Jammu & Kashmir"
"3152","TILAK RAJ BHAGAT","Bahujan Samaj Party","16442","0","159","16601",5,"Udhampur","S09","Jammu & Kashmir"
"4142","DR. JITENDRA SINGH","Bharatiya Janata Party","715406","0","8905","724311",5,"Udhampur","S09","Jammu & Kashmir"
"5142","VIKRAMADITYA SINGH","Indian National Congress","366123","0","936","367059",5,"Udhampur","S09","Jammu & Kashmir"
"6142","HARSH DEV SINGH","Jammu & Kashmir National Panthers Party","24135","0","184","24319",5,"Udhampur","S09","Jammu & Kashmir"
"7142","LAL SINGH","Dogra Swabhiman Sangathan Party,","18476","0","573","19049",5,"Udhampur","S09","Jammu & Kashmir"
"8140","MOHD AYUB","Navarang Congress Party","1615","0","58","1673",5,"Udhampur","S09","Jammu & Kashmir"
"9138","MEENAKSHI","Shivsena","1574","0","86","1660",5,"Udhampur","S09","Jammu & Kashmir"
"10134","BANSI LAL","Independent","1296","0","11","1307",5,"Udhampur","S09","Jammu & Kashmir"
"11127","RAKESH MUDGAL","Independent","1600","0","7","1607",5,"Udhampur","S09","Jammu & Kashmir"
"12122","SHABER AHMED","Independent","4425","0","17","4442",5,"Udhampur","S09","Jammu & Kashmir"
"13110","GARIB SINGH","Independent","4957","0","27","4984",5,"Udhampur","S09","Jammu & Kashmir"
"14100","FIRDOUS AHMED BAWANI","Independent","5540","0","3","5543",5,"Udhampur","S09","Jammu & Kashmir"
"1590","NOTA","None of the Above","7506","0","62","7568",5,"Udhampur","S09","Jammu & Kashmir"
"3153","Badri Nath","Bahujan Samaj Party","14053","0","223","14276",6,"Jammu","S09","Jammu & Kashmir"
"4143","Prof. Bhim Singh","Jammu & Kashmir National Panthers Party","3705","0","311","4016",6,"Jammu","S09","Jammu & Kashmir"
"5143","Jugal Kishore","Bharatiya Janata Party","840214","0","17852","858066",6,"Jammu","S09","Jammu & Kashmir"
"6143","Raman Bhalla","Indian National Congress","551187","0","4004","555191",6,"Jammu","S09","Jammu & Kashmir"
"7143","Javaid Ahmed","All India Forward Bloc","3833","0","33","3866",6,"Jammu","S09","Jammu & Kashmir"
"8141","Sushil Kumar","Hindusthan Nirman Dal","1261","0","20","1281",6,"Jammu","S09","Jammu & Kashmir"
"9139","Syed Aqib Hussain","Independent People’s Party","1708","0","15","1723",6,"Jammu","S09","Jammu & Kashmir"
"10135","Gursagar Singh","Navarang Congress Party","1086","0","17","1103",6,"Jammu","S09","Jammu & Kashmir"
"11128","Lal Singh","Dogra Swabhiman Sangathan Party,","6849","0","690","7539",6,"Jammu","S09","Jammu & Kashmir"
"12123","Mohd Younis","Jammu & Kashmir Pir Panjal Awami Party","1584","0","28","1612",6,"Jammu","S09","Jammu & Kashmir"
"13111","Manish Sahni","Shivsena","1157","0","35","1192",6,"Jammu","S09","Jammu & Kashmir"
"14101","Ajay Kumar","Independent","915","0","26","941",6,"Jammu","S09","Jammu & Kashmir"
"1591","Anil Singh","Independent","2118","0","13","2131",6,"Jammu","S09","Jammu & Kashmir"
"1680","Balwan Singh","Independent","2182","0","12","2194",6,"Jammu","S09","Jammu & Kashmir"
"1762","Bahadur","Independent","1180","0","21","1201",6,"Jammu","S09","Jammu & Kashmir"
"1854","Perseen Singh","Independent","2608","0","4","2612",6,"Jammu","S09","Jammu & Kashmir"
"1946","Tarseem Lal Khullar","Independent","2369","0","15","2384",6,"Jammu","S09","Jammu & Kashmir"
"2043","Rajiv Chuni","Independent","1257","0","12","1269",6,"Jammu","S09","Jammu & Kashmir"
"2136","Subash Chander","Independent","3723","0","16","3739",6,"Jammu","S09","Jammu & Kashmir"
"2230","Satish Poonchi","Independent","3036","0","41","3077",6,"Jammu","S09","Jammu & Kashmir"
"2327","Sakander Ahmad Nourani","Independent","1410","0","18","1428",6,"Jammu","S09","Jammu & Kashmir"
"2420","Syed Zeshan Haider","Independent","1565","0","17","1582",6,"Jammu","S09","Jammu & Kashmir"
"2518","Shazad Shabnam","Independent","1006","0","3","1009",6,"Jammu","S09","Jammu & Kashmir"
"2615","Er. Ghulam Mustafa Chowdhary","Independent","2738","0","7","2745",6,"Jammu","S09","Jammu & Kashmir"
"2715","NOTA","None of the Above","2546","0","72","2618",6,"Jammu","S09","Jammu & Kashmir"
"3154","ARJUN KUMAR","Communist Party of India","22558","19","22577","2.44",4,"Chatra","S27","Jharkhand"
"4144","NAGESHWAR GANJHU","Bahujan Samaj Party","18797","91","18888","2.04",4,"Chatra","S27","Jharkhand"
"5144","MANOJ KUMAR YADAV","Indian National Congress","149254","952","150206","16.22",4,"Chatra","S27","Jharkhand"
"6144","SUNIL KUMAR SINGH","Bharatiya Janata Party","526205","1872","528077","57.03",4,"Chatra","S27","Jharkhand"
"7144","SUBHASH PRASAD YADAV","Rashtriya Janata Dal","82991","434","83425","9.01",4,"Chatra","S27","Jharkhand"
"8142","ASHUTOSH KUMAR","Purvanchal Janta Party (Secular)","4483","0","4483","0.48",4,"Chatra","S27","Jharkhand"
"9140","PANKAJ RANJAN","Jharkhand People's Party","2752","9","2761","0.3",4,"Chatra","S27","Jharkhand"
"10136","RAMANAND DAS","Bhartiya Sarvodaya Party","2698","3","2701","0.29",4,"Chatra","S27","Jharkhand"
"11129","SAGAR RAM","Akhil Bharat Hindu Mahasabha","3844","1","3845","0.42",4,"Chatra","S27","Jharkhand"
"12124","ABDUL RAJAK ANSARI","Independent","3217","1","3218","0.35",4,"Chatra","S27","Jharkhand"
"13112","AYUB KHAN","Independent","3825","3","3828","0.41",4,"Chatra","S27","Jharkhand"
"14102","ARUN KUMAR YADAV","Independent","7224","3","7227","0.78",4,"Chatra","S27","Jharkhand"
"1592","JAIDULA ANSARI","Independent","13090","0","13090","1.41",4,"Chatra","S27","Jharkhand"
"1681","DULESHWAR SAW","Independent","6361","1","6362","0.69",4,"Chatra","S27","Jharkhand"
"1763","DHANANJAY KUMAR","Independent","3855","1","3856","0.42",4,"Chatra","S27","Jharkhand"
"1855","NANDLAL PRASAD","Independent","15855","4","15859","1.71",4,"Chatra","S27","Jharkhand"
"1947","NANDLAL PRASAD KESHARI","Independent","4107","4","4111","0.44",4,"Chatra","S27","Jharkhand"
"2044","PAWAN KUMAR","Independent","1590","5","1595","0.17",4,"Chatra","S27","Jharkhand"
"2137","PRAMOD TOPPO","Independent","3250","38","3288","0.36",4,"Chatra","S27","Jharkhand"
"2231","BAGENDRA RAM","Independent","8252","4","8256","0.89",4,"Chatra","S27","Jharkhand"
"2328","BHAGALPURI YADAV","Independent","3732","0","3732","0.4",4,"Chatra","S27","Jharkhand"
"2421","MANOJ KUMAR PANDEY","Independent","2048","4","2052","0.22",4,"Chatra","S27","Jharkhand"
"2519","YOGENDRA YADAV","Independent","3887","0","3887","0.42",4,"Chatra","S27","Jharkhand"
"2616","RAMESHI RAM","Independent","6087","2","6089","0.66",4,"Chatra","S27","Jharkhand"
"2716","RAJENDRA SAHU","Independent","11148","76","11224","1.21",4,"Chatra","S27","Jharkhand"
"2813","SHAUKAT ALI","Independent","2987","1","2988","0.32",4,"Chatra","S27","Jharkhand"
"299","NOTA","None of the Above","8264","48","8312","0.9",4,"Chatra","S27","Jharkhand"
"3155","GOPIN SOREN","Communist Party of India  (Marxist)","35577","9","35586","3.4",1,"Rajmahal","S27","Jharkhand"
"4145","BAIDHNATH PAHADIYA","Bahujan Samaj Party","10360","14","10374","0.99",1,"Rajmahal","S27","Jharkhand"
"5145","MONIKA KISKU","All India Trinamool Congress","17400","27","17427","1.66",1,"Rajmahal","S27","Jharkhand"
"6145","VIJAY KUMAR HANSDAK","Jharkhand Mukti Morcha","506589","1241","507830","48.47",1,"Rajmahal","S27","Jharkhand"
"7145","HEMLAL MURMU","Bharatiya Janata Party","407626","1009","408635","39",1,"Rajmahal","S27","Jharkhand"
"8143","NEERAJ HEMBROM","All India Forward Bloc","7533","10","7543","0.72",1,"Rajmahal","S27","Jharkhand"
"9141","MAHASHAY TUDU","Hindusthan Nirman Dal","2767","0","2767","0.26",1,"Rajmahal","S27","Jharkhand"
"10137","MARY NISHA HANSDAK","Bahujan Mukti Party","2946","2","2948","0.28",1,"Rajmahal","S27","Jharkhand"
"11130","CHRISTOPHER MURMU","Independent","3002","3","3005","0.29",1,"Rajmahal","S27","Jharkhand"
"12125","BARNAD HEMBROM","Independent","4254","0","4254","0.41",1,"Rajmahal","S27","Jharkhand"
"13113","MANGAL MARANDI","Independent","8232","2","8234","0.79",1,"Rajmahal","S27","Jharkhand"
"14103","MANDAL HANSDA","Independent","12128","2","12130","1.16",1,"Rajmahal","S27","Jharkhand"
"1593","MAHENDRA HANSDA","Independent","9074","3","9077","0.87",1,"Rajmahal","S27","Jharkhand"
"1682","MAHESH PAHADIYA","Independent","4926","2","4928","0.47",1,"Rajmahal","S27","Jharkhand"
"1764","NOTA","None of the Above","12898","21","12919","1.23",1,"Rajmahal","S27","Jharkhand"
"3156","GEETA KORA","Indian National Congress","431545","270","431815","49.11",10,"Singhbhum","S27","Jharkhand"
"4146","PARDESHI LAL MUNDA","Bahujan Samaj Party","9483","8","9491","1.08",10,"Singhbhum","S27","Jharkhand"
"5146","LAXMAN GILUWA","Bharatiya Janata Party","359159","501","359660","40.9",10,"Singhbhum","S27","Jharkhand"
"6146","KRISHNA MARDI","Jharkhand Mukti Morcha  (Ulgulan)","8640","32","8672","0.99",10,"Singhbhum","S27","Jharkhand"
"7146","CHANDRA MOHAN HEMBROM","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","4095","3","4098","0.47",10,"Singhbhum","S27","Jharkhand"
"8144","PRATAP SINGH BANARA","Ambedkarite Party of India","11286","12","11298","1.28",10,"Singhbhum","S27","Jharkhand"
"9142","HARI ORAWN","Kalinga Sena","5645","2","5647","0.64",10,"Singhbhum","S27","Jharkhand"
"10138","ANIL SOREN","Independent","9151","3","9154","1.04",10,"Singhbhum","S27","Jharkhand"
"11131","PUSHPA SINKU","Independent","15215","9","15224","1.73",10,"Singhbhum","S27","Jharkhand"
"12126","NOTA","None of the Above","24261","9","24270","2.76",10,"Singhbhum","S27","Jharkhand"
"3157","ARJUN MUNDA","Bharatiya Janata Party","381566","1072","382638","45.97",11,"Khunti","S27","Jharkhand"
"4147","INDUMATI MUNDU","Bahujan Samaj Party","7634","29","7663","0.92",11,"Khunti","S27","Jharkhand"
"5147","KALI CHARAN MUNDA","Indian National Congress","380468","725","381193","45.8",11,"Khunti","S27","Jharkhand"
